"Name","SMILES","Target_Family","LogP","MolMR","TPSA","HBA","HBD","RotatableBonds","RingCount","NumAromaticRings","NumAliphaticRings","FractionCSP3","LipinskiViolations","AromaticRingFraction","FlexibilityIndex","HeteroatomFraction","TPSA_per_MW"
"Compound 3","COC1=CC=C(C=C1)C(=O)C1=NC2=C(C(=O)OC3=CC=CC=C23)C(=C1N)C1=CC=CC=C1","Repeat.RNA",4.83,124.06,95.42,6,1,4,5,5,0,0.038,0,1,0.125,0.1875,0.225878231228103
"Compound 3","COC1=CC=C(C=C1)C(=O)C1=NC2=C(C(=O)OC3=CC=CC=C23)C(=C1N)C1=CC=CC=C1","Repeat.RNA",4.83,124.06,95.42,6,1,4,5,5,0,0.038,0,1,0.125,0.1875,0.225878231228103
"Compound 3","COC1=CC=C(C=C1)C(=O)C1=NC2=C(C(=O)OC3=CC=CC=C23)C(=C1N)C1=CC=CC=C1","Repeat.RNA",4.83,124.06,95.42,6,1,4,5,5,0,0.038,0,1,0.125,0.1875,0.225878231228103
"Compound 15","COC1=CC=C(C=C1)C(=O)C1=NC2=C(C(=O)OC3=CC=C(Br)C=C23)C(=C1N)C1=CC=CC=C1","Repeat.RNA",5.593,131.76,95.42,6,1,4,5,5,0,0.038,2,1,0.121212121212121,0.212121212121212,0.190331434407264
"Compound 15","COC1=CC=C(C=C1)C(=O)C1=NC2=C(C(=O)OC3=CC=C(Br)C=C23)C(=C1N)C1=CC=CC=C1","Repeat.RNA",5.593,131.76,95.42,6,1,4,5,5,0,0.038,2,1,0.121212121212121,0.212121212121212,0.190331434407264
"Compound 15","COC1=CC=C(C=C1)C(=O)C1=NC2=C(C(=O)OC3=CC=C(Br)C=C23)C(=C1N)C1=CC=CC=C1","Repeat.RNA",5.593,131.76,95.42,6,1,4,5,5,0,0.038,2,1,0.121212121212121,0.212121212121212,0.190331434407264
"Compound 15","COC1=CC=C(C=C1)C(=O)C1=NC2=C(C(=O)OC3=CC=C(Br)C=C23)C(=C1N)C1=CC=CC=C1","Repeat.RNA",5.593,131.76,95.42,6,1,4,5,5,0,0.038,2,1,0.121212121212121,0.212121212121212,0.190331434407264
"Compound 15","COC1=CC=C(C=C1)C(=O)C1=NC2=C(C(=O)OC3=CC=C(Br)C=C23)C(=C1N)C1=CC=CC=C1","Repeat.RNA",5.593,131.76,95.42,6,1,4,5,5,0,0.038,2,1,0.121212121212121,0.212121212121212,0.190331434407264
"Compound 15","COC1=CC=C(C=C1)C(=O)C1=NC2=C(C(=O)OC3=CC=C(Br)C=C23)C(=C1N)C1=CC=CC=C1","Other",5.593,131.76,95.42,6,1,4,5,5,0,0.038,2,1,0.121212121212121,0.212121212121212,0.190331434407264
"Compound 15","COC1=CC=C(C=C1)C(=O)C1=NC2=C(C(=O)OC3=CC=C(Br)C=C23)C(=C1N)C1=CC=CC=C1","Other",5.593,131.76,95.42,6,1,4,5,5,0,0.038,2,1,0.121212121212121,0.212121212121212,0.190331434407264
