"Target_Family","LogP","MolMR","TPSA","HBA","HBD","RotatableBonds","RingCount","NumAromaticRings","NumAliphaticRings","FractionCSP3","LipinskiViolations","AromaticRingFraction","FlexibilityIndex","HeteroatomFraction","TPSA_per_MW"
"Repeat.RNA",6.396,118.637,70.92,3,2,4,5,5,0,0,1,1,0.133333333333333,0.2,0.171360640210311
"Other",6.396,118.637,70.92,3,2,4,5,5,0,0,1,1,0.133333333333333,0.2,0.171360640210311
"Repeat.RNA",5.605,130.878,109.4,4,4,3,6,6,0,0,1,1,0.09375,0.1875,0.26267263402547
"Other",5.605,130.878,109.4,4,4,3,6,6,0,0,1,1,0.09375,0.1875,0.26267263402547
"Other",5.605,130.878,109.4,4,4,3,6,6,0,0,1,1,0.09375,0.1875,0.26267263402547
"Repeat.RNA",5.605,130.878,109.4,4,4,3,6,6,0,0,1,1,0.09375,0.1875,0.26267263402547
"Other",5.605,130.878,109.4,4,4,3,6,6,0,0,1,1,0.09375,0.1875,0.26267263402547
"Repeat.RNA",-1.178,72.335,134.8,6,0,2,3,1,2,0.067,0,0.333333333333333,0.0869565217391304,0.347826086956522,0.431723338361565
"Repeat.RNA",-1.178,72.335,134.8,6,0,2,3,1,2,0.067,0,0.333333333333333,0.0869565217391304,0.347826086956522,0.431723338361565
"Other",-1.178,72.335,134.8,6,0,2,3,1,2,0.067,0,0.333333333333333,0.0869565217391304,0.347826086956522,0.431723338361565
"Repeat.RNA",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"Other",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"Other",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"Repeat.RNA",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"Other",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"Other",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"Repeat.RNA",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"Repeat.RNA",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"Repeat.RNA",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"Repeat.RNA",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"Repeat.RNA",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"miRNA",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"Other",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"Other",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"Other",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"Other",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"Other",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"Other",1.866,95.972,108.09,7,2,2,4,2,2,0.471,0,0.5,0.0833333333333333,0.291666666666667,0.334225921757307
"Repeat.RNA",3.369,85.078,64.11,5,1,5,3,3,0,0.062,0,1,0.227272727272727,0.272727272727273,0.205899166896835
"Other",3.369,85.078,64.11,5,1,5,3,3,0,0.062,0,1,0.227272727272727,0.272727272727273,0.205899166896835
"Other",3.12,90.78,83.98,4,2,4,3,3,0,0,0,1,0.16,0.28,0.24969820947533
"Other",3.12,90.78,83.98,4,2,4,3,3,0,0,0,1,0.16,0.28,0.24969820947533
"Repeat.RNA",3.12,90.78,83.98,4,2,4,3,3,0,0,0,1,0.16,0.28,0.24969820947533
"tRNA",3.12,90.78,83.98,4,2,4,3,3,0,0,0,1,0.16,0.28,0.24969820947533
"Repeat.RNA",3.12,90.78,83.98,4,2,4,3,3,0,0,0,1,0.16,0.28,0.24969820947533
"mRNA",5.308,123.622,12.05,1,0,4,4,4,0,0.192,1,1,0.137931034482759,0.103448275862069,0.0315007149747341
"Other",5.308,123.622,12.05,1,0,4,4,4,0,0.192,1,1,0.137931034482759,0.103448275862069,0.0315007149747341
"Other",5.308,123.622,12.05,1,0,4,4,4,0,0.192,1,1,0.137931034482759,0.103448275862069,0.0315007149747341
"Other",5.308,123.622,12.05,1,0,4,4,4,0,0.192,1,1,0.137931034482759,0.103448275862069,0.0315007149747341
"Other",5.308,123.622,12.05,1,0,4,4,4,0,0.192,1,1,0.137931034482759,0.103448275862069,0.0315007149747341
"Other",5.308,123.622,12.05,1,0,4,4,4,0,0.192,1,1,0.137931034482759,0.103448275862069,0.0315007149747341
"mRNA",5.308,123.622,12.05,1,0,4,4,4,0,0.192,1,1,0.137931034482759,0.103448275862069,0.0315007149747341
"mRNA",2.901,110.448,100.53,5,3,4,4,3,1,0.409,0,0.75,0.137931034482759,0.241379310344828,0.254829543294153
"mRNA",2.901,110.448,100.53,5,3,4,4,3,1,0.409,0,0.75,0.137931034482759,0.241379310344828,0.254829543294153
"Other",2.901,110.448,100.53,5,3,4,4,3,1,0.409,0,0.75,0.137931034482759,0.241379310344828,0.254829543294153
"Other",2.901,110.448,100.53,5,3,4,4,3,1,0.409,0,0.75,0.137931034482759,0.241379310344828,0.254829543294153
"mRNA",2.959,118.223,94.54,5,3,4,4,3,1,0.435,0,0.75,0.133333333333333,0.233333333333333,0.231976090807819
"Other",-1.037,91.488,67.11,2,3,6,3,3,0,0.471,0,1,0.260869565217391,0.260869565217391,0.210742828431911
"HCV.IRES",-1.037,91.488,67.11,2,3,6,3,3,0,0.471,0,1,0.260869565217391,0.260869565217391,0.210742828431911
"Other",-1.037,91.488,67.11,2,3,6,3,3,0,0.471,0,1,0.260869565217391,0.260869565217391,0.210742828431911
"HCV.IRES",-1.514,92.991,63.2,2,3,9,2,2,0,0.588,0,1,0.391304347826087,0.260869565217391,0.195982969328045
"Other",-1.514,92.991,63.2,2,3,9,2,2,0,0.588,0,1,0.391304347826087,0.260869565217391,0.195982969328045
"HCV.IRES",-0.864,97.18,47.96,3,3,7,3,2,1,0.611,0,0.666666666666667,0.291666666666667,0.25,0.143816720642917
"Other",-0.864,97.18,47.96,3,3,7,3,2,1,0.611,0,0.666666666666667,0.291666666666667,0.25,0.143816720642917
"HCV.IRES",-1.59,95.616,63.2,2,3,7,3,2,1,0.611,0,0.666666666666667,0.291666666666667,0.25,0.188945492812896
"HCV.IRES",-1.59,95.616,63.2,2,3,7,3,2,1,0.611,0,0.666666666666667,0.291666666666667,0.25,0.188945492812896
"Other",-1.59,95.616,63.2,2,3,7,3,2,1,0.611,0,0.666666666666667,0.291666666666667,0.25,0.188945492812896
"HCV.IRES",-1.732,95.568,63.2,2,3,6,3,2,1,0.611,0,0.666666666666667,0.25,0.25,0.188945492812896
"Other",-1.732,95.568,63.2,2,3,6,3,2,1,0.611,0,0.666666666666667,0.25,0.25,0.188945492812896
"Other",-1.663,98.518,49.21,2,3,4,4,2,2,0.632,0,0.5,0.16,0.24,0.142020611892098
"HCV.IRES",-1.663,98.518,49.21,2,3,4,4,2,2,0.632,0,0.5,0.16,0.24,0.142020611892098
"HCV.IRES",-1.663,98.518,49.21,2,3,4,4,2,2,0.632,0,0.5,0.16,0.24,0.142020611892098
"Other",-1.663,98.518,49.21,2,3,4,4,2,2,0.632,0,0.5,0.16,0.24,0.142020611892098
"HCV.IRES",-1.91,93.949,49.21,2,3,4,4,2,2,0.611,0,0.5,0.166666666666667,0.25,0.148012464207512
